falo, I speak
falas, you speak (fam. sing.)
ele fala, he speaks
você fala, you speak (polite sing.)
falamos, we speak
eles falam, they speak
vocês falam, you speak (polite pl.)
vendo, I sell
vendes, you sell (fam. sing.)
ele vende, he sells
você vende, you sell (polite sing.)
vendemos, we sell, we sold
eles vendem, they sell
vocês vendem, you sell (polite pl.)
parto, I depart
partes, you depart (fam. sing.)
ele parte, he departs
você parte, you depart (polite sing.)
partimos, we depart, we departed
eles partem, they depart
vocês partem, you depart (polite pl.)
fale, speak! (polite sing.)
falem, speak! (polite pl.)
venda, sell! (polite sing.)
vendam, sell! (polite pl.)
parta, depart! (polite sing.)
partam, depart! (polite pl.)
falemos, let's speak
vendamos, let's sell
partamos, let's depart
falei, I spoke
falaste, you spoke (fam. sing.)
ele falou, he spoke
você falou, you spoke (polite sing.)
falámos, we spoke
eles falaram, they spoke, they had spoken (literary)
vocês falaram, you spoke (polite pl.), you had spoken (polite pl., literary)
vendi, I sold
vendeste, you sold (fam. sing.)
ele vendeu, he sold
você vendeu, you sold (polite sing.)
eles venderam, they sold, they had sold (literary)
vocês venderam, you sold (polite pl.), you had sold (polite pl., literary)
parti, I departed
partiste, you departed (fam. sing.)
ele partiu, he departed
você partiu, you departed (polite sing.)
eles partiram, they departed, they had departed (literary)
vocês partiram, you departed (polite pl.), you had departed (polite pl., literary)
eu falava, I was speaking
falavas, you were speaking (fam. sing.)
ele falava, he was speaking
você falava, you were speaking (polite sing.)
falávamos, we were speaking
eles falavam, they were speaking
vocês falavam, you were speaking (polite pl.)
eu vendia, I was selling
vendias, you were selling (fam. sing.)
ele vendia, he was selling
você vendia, you were selling (polite sing.)
vendíamos, we were selling
eles vendiam, they were selling
vocês vendiam, you were selling (polite pl.)
eu partia, I was departing
partias, you were departing (fam. sing.)
ele partia, he was departing
você partia, you were departing (polite sing.)
partíamos, we were departing
eles partiam, they were departing
vocês partiam, you were departing (polite pl.)
falarei, I will speak
falarás, you will speak (fam. sing.)
ele falará, he will speak
você falará, you will speak (polite sing.)
falaremos, we will speak
eles falarão, they will speak
vocês falarão, you will speak (polite pl.)
venderei, I will sell
venderás, you will sell (fam. sing.)
ele venderá, he will sell
você venderá, you will sell (polite sing.)
venderemos, we will sell
eles venderão, they will sell
vocês venderão, you will sell (polite pl.)
partirei, I will depart
partirás, you will depart (fam. sing.)
ele partirá, he will depart
você partirá, you will depart (polite sing.)
partiremos, we will depart
eles partirão, they will depart
vocês partirão, you will depart (polite pl.)
procurá-lo-ei, I will look for it
